X,Y,Z,Name,description,gx_media_links
-80.8677917,35.1087247,0,Little Sugar Creek Greenway Access,Turnberry Lane,
-80.8627224,35.1279518,0,Little Sugar Creek Greenway Access,Ramblewood Lane,
-80.8656012,35.1318656,0,Little Sugar Creek Greenway Access,Rockledge Drive,
-80.8586316,35.1444951,0,Little Sugar Creek Greenway Access,Grey Gate Lane,
-80.862594,35.138126,0,Little Sugar Creek Greenway Access,Huntingtowne Farms Park,
-80.855259,35.150321,0,Little Sugar Creek Greenway Access,Park Road Park,
-80.8586156,35.1520623,0,Little Sugar Creek Greenway Access,Tanbark Place,
-80.715547,35.102868,0,Four Mile Creek Greenway Access,Rockwell View Road - Handicap Accessible ,
-80.868443,35.111883,0,Little Sugar Creek Greenway Access,Heidleburg Lane,
-80.8654216,35.1352517,0,Little Sugar Creek Greenway Access,Woodstream Drive - PEDESTRIAN ACCESS ONLY,
-80.7381751,35.1835001,0,Campbell Creek Greenway Access,Bluff Wood Cove - Handicap Accessible,
-80.7391739,35.1845513,0,Campbell Creek Greenway Access,Lockmont Drive,
-80.734634,35.172747,0,Campbell Creek Greenway Access,Piney Grove Road,
-80.73731,35.178538,0,Campbell Creek Greenway Access,City View Drive - Handicap Accessible,
-80.735469,35.176991,0,Campbell Creek Greenway Access,E.W.T. Harris Boulevard - Not Handicap Accessible,
-80.7377125,35.1585847,0,McAlpine Creek Greenway Access,Not Handicap Accessible,
-80.8818522,35.0883993,0,Little Sugar Creek Greenway Access,Leitner Drive - Handicap Accessible,
-80.8366932,35.204545,0,Little Sugar Creek Greenway Access,East Morehead,
-80.8936436,35.205974,0,Irwin Creek Greenway Access,Clanton Rd,
-80.8916949,35.2071575,0,Irwin Creek Greenway Access,Arbor Glen Recreation Center,
-80.884329,35.2091311,0,Irwin Creek Greenway Access,Beech Nut Rd - Unpaved trail to greenway,
-80.884245,35.205666,0,Irwin Creek Greenway Access,Manchester Dr / Dorothy Doores Waddy Pavillion access point,
-80.8770276,35.2135434,0,Irwin Creek Greenway Access,Remount Rd,
-80.8776081,35.2132926,0,Irwin Creek Greenway Access,Dr. Charles L. Sifford Golf Course,
-80.878396,35.212678,0,Irwin Creek Greenway Access,Dr. Charles L. Sifford Golf Course,
-80.876468,35.213878,0,Irwin Creek Greenway Access,Revolution Park,
-80.8751384,35.2147987,0,Irwin Creek Greenway Access,Revolution Park,
-80.8729319,35.2176607,0,Irwin Creek Greenway Access,West Blvd,
-80.873304,35.2174477,0,Irwin Creek Greenway Access,Revolution Pk Dr,
-80.9202265,35.2104578,0,Taggart Creek Greenway Access,Nobles Ave,
-80.9222141,35.2103602,0,Taggart Creek Greenway Access,Brooksvale St,
-80.9223868,35.2090445,0,Taggart Creek Greenway Access,,
-80.9213139,35.2063867,0,Taggart Creek Greenway Access ,Gated,
-80.8173095,35.473335,0,South Prong Rocky River Greenway Access,Davidson-Concord Rd,
-80.8236282,35.4755763,0,South Prong Rocky River Greenway Access,Robert Walker Dr,
-80.822535,35.47517,0,South Prong Rocky River Greenway Access,Zac Hill Rd,
-80.824971,35.478256,0,South Prong Rocky River Greenway Access,Westbranch Pkwy,
-80.823981,35.4770146,0,South Prong Rocky River Greenway Access,Westbranch Pkwy,
-80.82772,35.479884,0,South Prong Rocky River Greenway Access,Hudson Place,
-80.819509,35.477877,0,South Prong Rocky River Greenway Access,Davidson-Concord & Robert Walker Way,
-80.819764,35.477821,0,South Prong Rocky River Greenway Access,Davidson-Concord & Robert Walker Way,
-80.8186377,35.475528,0,South Prong Rocky River Greenway Access,Davidson-Concord Rd,
-80.8173555,35.4733694,0,South Prong Rocky River Greenway Access,Davidson-Concord Rd,
-80.8183508,35.4778783,0,South Prong Rocky River Greenway Access,Robert Walker Dr,
-80.791571,35.47612,0,West Branch Rocky River Greenway Access,Ryker Way,
-80.849848,35.4870388,0,Antiquity Greenway Access,South St,
-80.8486369,35.4879065,0,South Prong Rocky River Greenway Access,South St,
-80.7813514,35.4589,0,West Branch Rocky River Greenway Access,Shearers Rd,
-80.8326381,35.21671,0,Little Sugar Creek Greenway Access,4th Street & N Kings Dr,
-80.8331748,35.2181904,0,Little Sugar Creek Greenway Access,Elizabeth Ave Access Point 2,
-80.8292296,35.2196033,0,Little Sugar Creek Greenway Access,Armory Dr ,
-80.877727,35.443436,0,McDowell Creek Greenway Access,Lindholm Dr,
-80.878581,35.447439,0,McDowell Creek Greenway Access,Cranlyn Rd,
-80.8793659,35.451284,0,McDowell Creek Greenway Access,Camberly Rd,
-80.879059,35.454002,0,McDowell Creek Greenway Access,Robbins Preserve Rd,
-80.877539,35.460293,0,McDowell Creek Greenway Access,McDowell Creek Ct,
-80.8781485,35.4630671,0,McDowell Creek Greenway Access,Westmoreland Rd,
-80.8777175,35.4651553,0,McDowell Creek Greenway Access,Portage Dr,
-80.8789886,35.4693298,0,McDowell Creek Greenway Access,Lake Pines Dr,
-80.8848901,35.470097,0,McDowell Creek Greenway Access,Rosalyn Glen Rd,
-80.8879185,35.4713085,0,McDowell Creek Greenway Access,Edinburgh Square Dr,
-80.8886785,35.4742477,0,McDowell Creek Greenway Access,Magnolia Estates Dr,
-80.8297839,35.4840794,0,South Prong Rocky River Greenway Access,Hudson Place,
-80.782493,35.337117,0,Clarks Creek Greenway Access,French Woods Rd,
-80.7812809,35.3401981,0,Clarks Creek Greenway Access,Armitage Dr,
-80.782247,35.341863,0,Clarks Creek Greenway Access,St Audrey Place,
-80.7839146,35.3451746,0,Clarks Creek Greenway Access,Chadwell Lane,
-80.7841742,35.3478419,0,Clarks Creek Greenway Access,Avon Farm Lane,
-80.7882588,35.3504369,0,Clarks Creek Greenway Access,Lookout Point Drive,
-80.7861624,35.3499561,0,Clarks Creek Greenway Access,Silvermere Way,
-80.7860567,35.3523636,0,Clarks Creek Greenway Access,Fairlea Drive,
-80.8158615,35.2372121,0,Little Sugar Creek Greenway Access,Cordelia Park off Catawba Ave,
-80.8187566,35.2349761,0,Little Sugar Creek Greenway Access,Parkwood Ave and N McDowell St,
-80.820517,35.233886,0,Little Sugar Creek Greenway Access,N Alexander St and E 19th St,
-80.823066,35.233452,0,Little Sugar Creek Greenway Access,N Davidson St,
-80.822217,35.232668,0,Little Sugar Creek Greenway Access,N Alexander St and E17th St,
-80.822582,35.2323376,0,Little Sugar Creek Greenway Access,N Alexander St,
-80.8232767,35.2318688,0,Little Sugar Creek Greenway Access,N Alexander St,
-80.8233867,35.2323529,0,Little Sugar Creek Greenway Access,E 16th St,
-80.82155,35.2309707,0,Little Sugar Creek Greenway Access,N McDowell St and E 16th St,
-80.822103,35.2299273,0,Little Sugar Creek Greenway Access,E 15th St,
-80.822837,35.230478,0,Little Sugar Creek Greenway Access,N Myers St and E 15th St,
-80.8277619,35.2269738,0,Little Sugar Creek Greenway Access,E 12th St and Alexander Park,
-80.7192553,35.1038963,0,Four Mile Creek Greenway Access,Greylock Ridge Road,
-80.7239706,35.1008196,0,Four Mile Creek Greenway Access,Privette Road,
-80.7226633,35.1042441,0,Four Mile Creek Greenway Access,Country Place Drive,
-80.7203824,35.1077316,0,Four Mile Creek Greenway Access,Clearbrook Road,
